               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.043051,            0.013579,           0.0076575,             0.97005,             0.42123,             0.46076,             0.29668,            0.043552,             0.00769,           0.0080604,              0.0721,              0.0031,              0.0031
                   1,            0.046161,            0.012948,            0.006568,             0.85546,             0.41682,             0.40293,             0.16847,            0.053578,           0.0073346,            0.008046,            0.043269,           0.0062688,           0.0062688
                   2,            0.052744,            0.012944,           0.0072568,             0.74542,             0.31468,             0.27526,             0.14762,            0.061809,           0.0077399,            0.012168,            0.014406,           0.0094059,           0.0094059
                   3,            0.055693,            0.012612,            0.008421,             0.63322,              0.4812,             0.41117,             0.23282,            0.051024,            0.007647,           0.0084585,           0.0098515,           0.0098515,           0.0098515
                   4,            0.053211,            0.012254,           0.0084408,             0.79588,             0.32618,             0.34181,             0.18026,            0.053326,           0.0082021,           0.0092298,           0.0098515,           0.0098515,           0.0098515
                   5,            0.050558,            0.012336,           0.0072054,             0.64387,             0.31557,             0.31215,             0.14522,            0.062819,           0.0085962,            0.016855,            0.009802,            0.009802,            0.009802
                   6,            0.050847,            0.011256,           0.0074139,             0.68354,             0.44648,             0.44708,             0.20789,            0.055377,            0.007826,           0.0097703,           0.0097525,           0.0097525,           0.0097525
                   7,            0.049081,             0.01194,           0.0064464,             0.73063,               0.477,             0.47914,             0.26395,            0.045356,           0.0070125,           0.0063403,            0.009703,            0.009703,            0.009703
                   8,            0.047342,            0.010755,           0.0066072,              0.8168,             0.51522,             0.49681,             0.26478,            0.047267,           0.0089471,           0.0094995,           0.0096535,           0.0096535,           0.0096535
                   9,            0.046151,            0.011115,           0.0067231,             0.87786,             0.35671,             0.41158,             0.23616,            0.053393,           0.0087473,            0.010102,            0.009604,            0.009604,            0.009604
                  10,            0.046268,            0.011453,           0.0063126,             0.80884,             0.51277,             0.50062,             0.27102,            0.047725,             0.00819,           0.0082475,           0.0095545,           0.0095545,           0.0095545
