               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  11,            0.045981,            0.010673,           0.0060275,             0.86461,             0.47371,             0.55725,             0.28684,            0.042925,           0.0067848,           0.0066289,            0.009505,            0.009505,            0.009505
                  12,            0.043259,             0.01155,            0.005624,              0.7013,             0.43146,             0.44209,             0.23454,            0.048007,           0.0083742,           0.0095888,           0.0094555,           0.0094555,           0.0094555
                  13,            0.042527,           0.0098444,           0.0061834,              0.7489,             0.44868,             0.45135,              0.2204,            0.048796,           0.0088472,           0.0069371,            0.009406,            0.009406,            0.009406
                  14,            0.044188,            0.010845,           0.0055431,             0.93043,             0.43305,             0.49988,             0.30097,            0.046101,           0.0079879,           0.0076074,           0.0093565,           0.0093565,           0.0093565
                  15,            0.042109,            0.011079,            0.004764,             0.89944,             0.45204,             0.50517,             0.29411,            0.046777,           0.0076647,           0.0080206,            0.009307,            0.009307,            0.009307
                  16,            0.043399,            0.010599,           0.0044939,             0.48199,             0.47856,             0.48419,             0.29364,            0.045005,           0.0075655,           0.0093949,           0.0092575,           0.0092575,           0.0092575
                  17,            0.041699,            0.010748,           0.0046189,             0.70756,             0.35384,             0.37443,             0.22028,             0.05848,           0.0088242,             0.01924,            0.009208,            0.009208,            0.009208
                  18,            0.039006,            0.010271,           0.0042721,             0.53302,             0.52527,              0.5173,             0.27166,            0.046193,           0.0071375,           0.0076566,           0.0091585,           0.0091585,           0.0091585
                  19,            0.041031,           0.0095274,           0.0038631,             0.54908,              0.5806,              0.5423,             0.31052,            0.042906,           0.0061275,             0.00603,            0.009109,            0.009109,            0.009109
                  20,            0.040958,            0.009966,           0.0043193,             0.58004,             0.50944,              0.4753,             0.28069,            0.042547,             0.00743,           0.0087417,           0.0090595,           0.0090595,           0.0090595
                  21,            0.040068,           0.0098052,           0.0042252,             0.58868,             0.52607,             0.53872,             0.32968,            0.042919,           0.0081012,            0.005461,             0.00901,             0.00901,             0.00901
                  22,            0.039163,            0.010305,           0.0042761,              0.7001,             0.33292,             0.36981,             0.23251,            0.046925,            0.011667,            0.014814,           0.0089605,           0.0089605,           0.0089605
                  23,            0.040124,            0.009552,           0.0047279,             0.55667,             0.27854,             0.33463,             0.19181,            0.057537,            0.010109,            0.018785,            0.008911,            0.008911,            0.008911
                  24,            0.038149,           0.0095674,           0.0034252,             0.71641,             0.40194,              0.4446,             0.28717,            0.052254,           0.0081178,            0.014315,           0.0088615,           0.0088615,           0.0088615
                  25,            0.038848,           0.0095629,           0.0036721,             0.53882,             0.55679,             0.53747,             0.32282,            0.041398,           0.0066777,           0.0055036,            0.008812,            0.008812,            0.008812
                  26,            0.037548,           0.0098649,           0.0029065,             0.61807,             0.48814,             0.50584,             0.32472,            0.040212,           0.0071992,           0.0079564,           0.0087625,           0.0087625,           0.0087625
                  27,            0.037838,           0.0092061,           0.0038007,             0.60905,             0.46134,             0.46592,             0.28858,            0.043944,           0.0086743,           0.0074448,            0.008713,            0.008713,            0.008713
                  28,            0.036948,           0.0093922,           0.0036051,             0.66513,             0.45878,             0.46705,             0.29879,            0.043973,           0.0073359,           0.0069568,           0.0086635,           0.0086635,           0.0086635
                  29,            0.035818,           0.0094339,           0.0029509,             0.78499,             0.51123,             0.52891,             0.30356,            0.045649,           0.0077925,           0.0072594,            0.008614,            0.008614,            0.008614
                  30,            0.037303,           0.0092428,               0.003,             0.80138,             0.61289,             0.66507,             0.40118,            0.038553,           0.0062257,           0.0049289,           0.0085645,           0.0085645,           0.0085645
                  31,            0.036591,           0.0092371,           0.0031822,             0.73341,             0.55562,              0.5821,               0.374,            0.042057,            0.006639,           0.0097433,            0.008515,            0.008515,            0.008515
                  32,            0.036304,           0.0091481,           0.0033968,             0.73902,             0.57457,             0.61804,             0.35741,            0.039781,           0.0064999,           0.0062947,           0.0084655,           0.0084655,           0.0084655
                  33,            0.035527,           0.0086503,           0.0026545,             0.86282,             0.65228,             0.66686,             0.34947,            0.041409,           0.0061722,           0.0056704,            0.008416,            0.008416,            0.008416
                  34,            0.036476,           0.0087631,           0.0031274,             0.67707,             0.71129,             0.66079,             0.38058,            0.036383,           0.0057293,           0.0057081,           0.0083665,           0.0083665,           0.0083665
                  35,            0.036644,            0.009391,           0.0032668,             0.78692,             0.61387,              0.6389,             0.38279,            0.036665,           0.0058924,           0.0050588,            0.008317,            0.008317,            0.008317
                  36,            0.036315,           0.0086617,            0.002419,             0.73904,               0.626,             0.63213,             0.37615,            0.036398,           0.0061286,           0.0053217,           0.0082675,           0.0082675,           0.0082675
                  37,            0.035451,           0.0095275,           0.0031828,             0.75602,             0.62516,             0.61643,             0.39523,            0.036615,           0.0062272,           0.0043077,            0.008218,            0.008218,            0.008218
                  38,            0.036005,           0.0091063,           0.0028958,             0.66204,             0.58477,             0.57944,              0.3437,            0.040392,           0.0069242,           0.0060356,           0.0081685,           0.0081685,           0.0081685
                  39,            0.034244,             0.00831,           0.0027263,              0.7614,             0.66347,             0.66515,             0.40172,            0.036795,           0.0060473,            0.004188,            0.008119,            0.008119,            0.008119
                  40,            0.034498,           0.0081345,           0.0025602,             0.71912,             0.61825,             0.62773,             0.38104,            0.038409,           0.0062504,           0.0036466,           0.0080695,           0.0080695,           0.0080695
                  41,            0.034904,           0.0090727,           0.0028023,              0.7914,             0.62851,             0.64767,             0.38716,            0.036871,            0.006662,           0.0049945,             0.00802,             0.00802,             0.00802
                  42,            0.034371,           0.0090035,           0.0021704,             0.74782,             0.62459,             0.62959,             0.35678,            0.037575,           0.0064123,           0.0050023,           0.0079705,           0.0079705,           0.0079705
                  43,            0.034013,           0.0087474,           0.0022232,             0.72347,             0.52829,             0.54597,             0.33256,            0.043619,           0.0071357,           0.0066351,            0.007921,            0.007921,            0.007921
                  44,            0.033465,           0.0079912,           0.0020331,             0.73599,             0.62531,             0.63881,             0.37285,            0.037158,           0.0060943,           0.0046723,           0.0078715,           0.0078715,           0.0078715
                  45,             0.03313,           0.0076371,           0.0022044,             0.81916,             0.60251,             0.66504,             0.40389,            0.038211,           0.0061144,           0.0058897,            0.007822,            0.007822,            0.007822
                  46,             0.03317,           0.0087351,           0.0022805,             0.56752,             0.46871,              0.5075,             0.28716,            0.045354,           0.0078395,             0.01016,           0.0077725,           0.0077725,           0.0077725
                  47,            0.032212,           0.0086053,           0.0023848,             0.75553,              0.6426,             0.67959,             0.41933,            0.035901,           0.0060024,           0.0050925,            0.007723,            0.007723,            0.007723
                  48,             0.03309,           0.0081762,           0.0019926,             0.77801,             0.55247,             0.56183,             0.34241,             0.03901,           0.0075957,           0.0062501,           0.0076735,           0.0076735,           0.0076735
                  49,            0.032646,           0.0079043,           0.0026248,             0.76808,             0.55514,             0.57438,             0.37152,            0.040679,           0.0077679,           0.0092776,            0.007624,            0.007624,            0.007624
                  50,            0.031444,           0.0084941,           0.0022516,             0.70409,             0.58693,             0.58614,             0.35895,            0.037569,           0.0068566,           0.0048311,           0.0075745,           0.0075745,           0.0075745
                  51,            0.032457,           0.0081272,           0.0019812,             0.76554,             0.65108,             0.64744,              0.3835,             0.03616,           0.0062305,           0.0055591,            0.007525,            0.007525,            0.007525
                  52,            0.032095,           0.0078343,           0.0026844,             0.85172,             0.63289,             0.64969,             0.40446,            0.035112,             0.00641,           0.0047838,           0.0074755,           0.0074755,           0.0074755
                  53,            0.031329,           0.0083429,           0.0022084,             0.79087,             0.58341,             0.63205,             0.38418,            0.037275,           0.0067891,           0.0049603,            0.007426,            0.007426,            0.007426
                  54,             0.03188,           0.0080294,           0.0018063,             0.80338,             0.67102,             0.69834,             0.41653,             0.03627,           0.0057348,            0.004696,           0.0073765,           0.0073765,           0.0073765
                  55,            0.031314,           0.0080866,           0.0027411,             0.70723,              0.6304,             0.62057,             0.38852,            0.038193,           0.0062607,           0.0051471,            0.007327,            0.007327,            0.007327
                  56,              0.0323,           0.0085078,           0.0024148,             0.74182,             0.63148,             0.62824,             0.40141,            0.035913,           0.0060389,           0.0052365,           0.0072775,           0.0072775,           0.0072775
                  57,            0.030757,           0.0078326,             0.00204,             0.68001,             0.56558,             0.58892,             0.37626,            0.038418,           0.0070134,            0.008959,            0.007228,            0.007228,            0.007228
                  58,            0.031519,            0.008344,            0.003262,             0.78755,             0.56115,             0.57578,             0.36147,            0.039447,           0.0083011,           0.0075404,           0.0071785,           0.0071785,           0.0071785
                  59,            0.031919,           0.0075747,           0.0024134,             0.67595,             0.58696,             0.61154,             0.37613,            0.038374,           0.0063581,           0.0046279,            0.007129,            0.007129,            0.007129
                  60,            0.030863,           0.0077016,           0.0022041,             0.90276,             0.62019,             0.68595,             0.39046,            0.037182,           0.0065608,           0.0050247,           0.0070795,           0.0070795,           0.0070795
                  61,            0.030996,           0.0081561,           0.0017326,             0.77752,             0.71136,             0.71899,             0.42969,            0.034951,           0.0057574,           0.0041726,             0.00703,             0.00703,             0.00703
                  62,            0.029908,           0.0077382,           0.0024913,             0.80937,             0.72216,              0.7257,             0.43835,            0.033834,           0.0056596,           0.0042368,           0.0069805,           0.0069805,           0.0069805
                  63,            0.031034,           0.0079974,           0.0017583,             0.80021,             0.66581,             0.69656,              0.4396,            0.034545,            0.005801,           0.0047259,            0.006931,            0.006931,            0.006931
                  64,             0.03076,           0.0072402,           0.0016482,             0.88221,             0.65262,             0.70497,             0.42907,            0.034635,           0.0058758,           0.0048847,           0.0068815,           0.0068815,           0.0068815
                  65,            0.029283,           0.0080567,           0.0021476,             0.80322,             0.64769,              0.6575,             0.41389,            0.035309,           0.0061224,           0.0062713,            0.006832,            0.006832,            0.006832
                  66,            0.028569,           0.0075357,           0.0019724,             0.71482,             0.54378,             0.57461,             0.37921,            0.042961,           0.0073262,            0.013674,           0.0067825,           0.0067825,           0.0067825
                  67,            0.029299,           0.0079653,           0.0022421,             0.71846,              0.6868,             0.67624,             0.41406,            0.036864,           0.0057708,           0.0048821,            0.006733,            0.006733,            0.006733
                  68,            0.029742,           0.0077278,           0.0013194,             0.84236,              0.6354,             0.69032,             0.41277,            0.035523,           0.0059182,           0.0045843,           0.0066835,           0.0066835,           0.0066835
                  69,            0.029272,           0.0074113,           0.0012993,             0.80552,             0.66854,             0.70615,             0.42316,            0.035074,           0.0059415,           0.0045508,            0.006634,            0.006634,            0.006634
                  70,            0.029029,           0.0078807,            0.001776,             0.74013,             0.71206,             0.69941,             0.42587,            0.034655,           0.0057023,           0.0042894,           0.0065845,           0.0065845,           0.0065845
                  71,            0.028331,           0.0082952,           0.0016995,             0.86719,             0.58108,             0.58694,             0.38423,            0.036783,           0.0069867,            0.007204,            0.006535,            0.006535,            0.006535
                  72,            0.029355,           0.0071818,           0.0019686,              0.7031,             0.51651,             0.56135,             0.37227,            0.038388,           0.0074837,           0.0062768,           0.0064855,           0.0064855,           0.0064855
                  73,            0.029373,           0.0075977,           0.0016122,             0.72432,             0.66914,             0.63818,             0.40881,            0.034816,           0.0063938,           0.0057098,            0.006436,            0.006436,            0.006436
                  74,            0.028401,           0.0080405,           0.0015474,             0.77318,             0.72845,             0.72955,              0.4329,            0.033688,           0.0056592,           0.0043256,           0.0063865,           0.0063865,           0.0063865
                  75,            0.029243,           0.0077002,            0.001679,             0.84522,             0.68538,             0.70383,             0.42262,            0.033805,           0.0057791,           0.0048301,            0.006337,            0.006337,            0.006337
                  76,            0.029251,           0.0076913,           0.0019385,             0.76319,             0.65453,             0.66312,             0.39669,            0.034947,           0.0059665,           0.0045371,           0.0062875,           0.0062875,           0.0062875
                  77,            0.027761,           0.0077973,           0.0015683,             0.74085,             0.68174,             0.67132,             0.40583,            0.034926,           0.0057888,           0.0047637,            0.006238,            0.006238,            0.006238
                  78,             0.02905,           0.0075928,           0.0016233,             0.79453,             0.68571,             0.68818,             0.41728,            0.034199,           0.0057317,           0.0044461,           0.0061885,           0.0061885,           0.0061885
                  79,            0.028963,           0.0072941,           0.0013177,             0.76339,             0.71079,             0.72531,             0.44953,            0.033223,           0.0057214,           0.0048104,            0.006139,            0.006139,            0.006139
                  80,            0.027679,           0.0073073,           0.0016108,             0.77855,             0.71708,             0.70984,              0.4334,            0.034169,           0.0058192,           0.0048229,           0.0060895,           0.0060895,           0.0060895
                  81,             0.02878,           0.0074886,           0.0017456,             0.52928,             0.40577,             0.45118,             0.31705,            0.046533,           0.0090305,           0.0094296,             0.00604,             0.00604,             0.00604
                  82,            0.028095,           0.0072217,           0.0015809,              0.7407,             0.68126,             0.67017,             0.40772,            0.034196,           0.0058949,           0.0053665,           0.0059905,           0.0059905,           0.0059905
                  83,            0.028479,           0.0077963,           0.0019219,             0.78992,             0.66978,             0.67991,             0.42043,            0.034576,           0.0059061,           0.0050327,            0.005941,            0.005941,            0.005941
                  84,            0.027558,           0.0076276,           0.0018954,             0.78626,             0.70729,             0.71639,             0.44524,            0.033446,            0.005836,           0.0047872,           0.0058915,           0.0058915,           0.0058915
                  85,            0.026874,           0.0073378,           0.0014768,             0.87441,             0.67231,              0.7105,             0.44738,            0.033729,           0.0058662,           0.0049304,            0.005842,            0.005842,            0.005842
                  86,            0.026333,           0.0075246,           0.0017342,             0.75206,             0.60445,             0.60175,             0.39495,            0.036529,            0.006991,           0.0054643,           0.0057925,           0.0057925,           0.0057925
                  87,            0.026532,           0.0074483,           0.0016335,             0.73249,             0.69584,             0.70074,             0.43004,            0.034284,           0.0057598,           0.0045786,            0.005743,            0.005743,            0.005743
                  88,            0.027955,           0.0075522,           0.0014894,             0.77891,             0.71286,             0.72076,             0.42305,            0.035152,           0.0057058,           0.0044154,           0.0056935,           0.0056935,           0.0056935
                  89,            0.027456,           0.0073623,            0.001089,             0.82348,             0.69783,             0.73147,             0.45278,            0.033947,           0.0056899,            0.004747,            0.005644,            0.005644,            0.005644
                  90,            0.027863,           0.0072466,           0.0014192,             0.74285,             0.70066,             0.69032,             0.42849,            0.034603,           0.0056884,           0.0042648,           0.0055945,           0.0055945,           0.0055945
                  91,            0.026738,           0.0073127,           0.0013894,             0.77135,             0.72374,             0.72071,             0.43568,            0.034691,           0.0056031,           0.0041629,            0.005545,            0.005545,            0.005545
                  92,            0.026163,           0.0074685,           0.0014654,             0.78666,              0.7049,             0.71616,               0.431,            0.035119,           0.0056037,           0.0041697,           0.0054955,           0.0054955,           0.0054955
                  93,            0.026625,           0.0075123,           0.0012139,             0.83915,             0.70676,             0.73015,             0.44921,            0.034526,            0.005499,           0.0044917,            0.005446,            0.005446,            0.005446
                  94,            0.025936,            0.006992,            0.001189,              0.7989,             0.70729,             0.69624,             0.42824,            0.034596,           0.0058017,           0.0047581,           0.0053965,           0.0053965,           0.0053965
                  95,            0.025098,           0.0067894,          0.00094495,              0.8498,             0.68199,             0.69058,             0.43096,            0.034138,           0.0059618,           0.0045039,            0.005347,            0.005347,            0.005347
                  96,            0.027409,           0.0070009,           0.0010997,             0.78997,             0.70959,             0.70508,             0.43282,            0.034077,           0.0059675,           0.0049551,           0.0052975,           0.0052975,           0.0052975
                  97,            0.026581,           0.0068309,           0.0011903,             0.87943,             0.72403,              0.7451,             0.45569,            0.032742,            0.005727,            0.004676,            0.005248,            0.005248,            0.005248
                  98,            0.026355,           0.0072299,           0.0010683,             0.86745,             0.72264,             0.74963,              0.4563,            0.032542,           0.0058122,           0.0046143,           0.0051985,           0.0051985,           0.0051985
                  99,            0.025913,           0.0072427,          0.00089386,             0.86739,             0.70401,             0.74039,             0.46398,             0.03351,           0.0057611,           0.0048199,            0.005149,            0.005149,            0.005149
                 100,            0.026694,           0.0067076,            0.001053,             0.78249,             0.72684,             0.72551,             0.44496,            0.033962,           0.0057245,           0.0044946,           0.0050995,           0.0050995,           0.0050995
                 101,            0.026289,           0.0066668,            0.001038,             0.82132,             0.67523,             0.70956,             0.43492,            0.035339,           0.0058656,           0.0055869,             0.00505,             0.00505,             0.00505
                 102,            0.025196,           0.0068573,           0.0010827,             0.83524,             0.68093,             0.68997,             0.43083,            0.035179,           0.0060178,            0.004977,           0.0050005,           0.0050005,           0.0050005
                 103,            0.025196,           0.0071701,           0.0010978,             0.78276,             0.70815,             0.69276,             0.42597,            0.034254,           0.0059679,           0.0047599,            0.004951,            0.004951,            0.004951
                 104,            0.026194,           0.0068143,           0.0012162,             0.84152,             0.67967,             0.68648,             0.43656,            0.033599,           0.0057671,           0.0049312,           0.0049015,           0.0049015,           0.0049015
                 105,            0.025976,           0.0069162,            0.001084,             0.85153,             0.70021,             0.73656,             0.43694,            0.033773,           0.0056559,           0.0044398,            0.004852,            0.004852,            0.004852
                 106,            0.025482,           0.0072037,           0.0011328,             0.79179,             0.69731,             0.71168,             0.45374,            0.033077,           0.0060011,           0.0043733,           0.0048025,           0.0048025,           0.0048025
                 107,            0.025036,           0.0065521,           0.0013781,             0.76454,             0.73272,             0.71342,             0.45517,             0.03284,           0.0058282,           0.0042811,            0.004753,            0.004753,            0.004753
                 108,            0.025312,           0.0065555,           0.0012654,             0.77582,             0.74054,             0.74316,             0.45139,            0.032953,           0.0056999,           0.0048108,           0.0047035,           0.0047035,           0.0047035
                 109,            0.025776,           0.0069309,           0.0010424,             0.88338,               0.665,             0.68721,             0.43041,             0.03348,           0.0061823,           0.0056378,            0.004654,            0.004654,            0.004654
                 110,            0.025375,           0.0070835,           0.0013579,             0.92208,              0.7016,             0.73351,             0.44434,            0.033439,            0.005769,            0.005342,           0.0046045,           0.0046045,           0.0046045
                 111,            0.024257,           0.0071483,           0.0011199,              0.8604,             0.69012,             0.71471,             0.44125,            0.033799,           0.0056957,           0.0049477,            0.004555,            0.004555,            0.004555
                 112,            0.024916,           0.0064703,           0.0010134,             0.77759,             0.71522,             0.70273,             0.43359,            0.033279,           0.0057886,           0.0044127,           0.0045055,           0.0045055,           0.0045055
                 113,            0.024852,           0.0070578,           0.0010352,             0.77227,             0.69887,             0.69635,             0.44728,            0.033123,           0.0058256,           0.0047143,            0.004456,            0.004456,            0.004456
                 114,            0.025122,           0.0070257,           0.0010718,             0.78649,             0.72647,             0.72357,             0.45391,            0.032549,           0.0057491,           0.0044548,           0.0044065,           0.0044065,           0.0044065
                 115,            0.024404,           0.0066379,          0.00095481,             0.80676,             0.71047,             0.73202,             0.47783,            0.032371,           0.0057039,           0.0047671,            0.004357,            0.004357,            0.004357
                 116,            0.024922,           0.0067593,           0.0012943,             0.78262,             0.72968,             0.72756,             0.45716,            0.032228,           0.0059287,           0.0056408,           0.0043075,           0.0043075,           0.0043075
                 117,            0.024364,           0.0071965,          0.00094586,             0.77468,             0.69668,             0.69208,             0.44817,            0.032567,           0.0059892,           0.0041475,            0.004258,            0.004258,            0.004258
                 118,            0.024043,           0.0069771,          0.00083328,             0.81632,             0.71194,              0.7171,             0.45169,            0.033456,           0.0060183,            0.004716,           0.0042085,           0.0042085,           0.0042085
                 119,            0.025682,           0.0070231,           0.0010916,             0.81875,              0.7015,             0.72112,             0.45042,             0.03267,           0.0060317,           0.0039561,            0.004159,            0.004159,            0.004159
                 120,            0.023797,            0.007151,          0.00099945,               0.804,              0.6877,             0.70374,             0.46226,             0.03247,           0.0059397,           0.0043243,           0.0041095,           0.0041095,           0.0041095
                 121,            0.022985,           0.0066091,            0.001024,             0.78686,             0.70027,             0.70557,             0.46017,            0.032624,           0.0058371,           0.0047291,             0.00406,             0.00406,             0.00406
                 122,             0.02409,           0.0062466,          0.00066348,             0.81156,             0.70203,             0.70561,             0.46034,            0.033172,           0.0056955,           0.0053912,           0.0040105,           0.0040105,           0.0040105
                 123,            0.024689,             0.00653,          0.00098791,             0.84929,             0.72739,             0.73781,             0.45427,            0.033191,           0.0057564,           0.0052772,            0.003961,            0.003961,            0.003961
                 124,            0.024281,           0.0071094,          0.00096343,             0.82583,             0.70004,             0.71245,             0.45179,            0.032544,            0.005668,           0.0050512,           0.0039115,           0.0039115,           0.0039115
                 125,            0.023143,           0.0063451,          0.00096599,             0.81415,              0.6753,             0.69125,             0.44973,            0.033109,           0.0058777,           0.0053279,            0.003862,            0.003862,            0.003862
                 126,            0.023942,           0.0069423,          0.00068656,             0.88351,             0.69046,             0.73615,             0.46631,            0.032457,           0.0057927,           0.0051033,           0.0038125,           0.0038125,           0.0038125
                 127,            0.023029,           0.0065506,           0.0011626,             0.80363,             0.69167,             0.70502,             0.45268,            0.032235,           0.0061349,           0.0049411,            0.003763,            0.003763,            0.003763
                 128,            0.023622,           0.0065284,          0.00077856,             0.78362,             0.69643,             0.69368,             0.46368,            0.032506,           0.0058506,            0.004808,           0.0037135,           0.0037135,           0.0037135
                 129,            0.023608,           0.0067065,           0.0007585,             0.85573,             0.67503,             0.69824,             0.45823,            0.032771,           0.0059616,           0.0048786,            0.003664,            0.003664,            0.003664
                 130,            0.022914,           0.0069376,          0.00072445,             0.82603,              0.7106,             0.71356,              0.4566,            0.033507,           0.0058328,           0.0044045,           0.0036145,           0.0036145,           0.0036145
                 131,            0.022486,           0.0064351,          0.00078952,             0.81918,             0.68967,             0.70613,             0.46086,            0.032694,           0.0058969,           0.0051748,            0.003565,            0.003565,            0.003565
                 132,            0.023199,           0.0062539,           0.0007753,             0.79661,              0.6876,             0.69105,             0.45515,            0.032236,           0.0060247,           0.0058443,           0.0035155,           0.0035155,           0.0035155
                 133,            0.022761,           0.0063897,          0.00081358,             0.81388,             0.71572,             0.71029,             0.44418,            0.033062,           0.0059303,           0.0052921,            0.003466,            0.003466,            0.003466
                 134,            0.023224,           0.0064363,          0.00056482,             0.87619,             0.68547,             0.71856,             0.46291,             0.03261,           0.0059096,           0.0048013,           0.0034165,           0.0034165,           0.0034165
                 135,            0.022303,           0.0062005,           0.0015428,              0.7858,             0.70405,             0.69026,             0.45434,            0.032713,           0.0059258,           0.0050033,            0.003367,            0.003367,            0.003367
                 136,            0.021319,           0.0061992,          0.00075881,             0.77731,             0.71534,             0.69835,             0.44792,            0.033465,            0.005923,            0.005455,           0.0033175,           0.0033175,           0.0033175
                 137,            0.023245,           0.0069732,          0.00087297,              0.7697,             0.73529,             0.68957,             0.45499,            0.032078,           0.0058952,           0.0053301,            0.003268,            0.003268,            0.003268
                 138,            0.022578,           0.0059553,          0.00098232,             0.78114,             0.71055,             0.70757,             0.46716,            0.031275,           0.0060078,           0.0050255,           0.0032185,           0.0032185,           0.0032185
                 139,            0.022305,           0.0061729,           0.0010383,             0.81348,             0.73487,             0.73066,             0.46705,              0.0313,           0.0058405,           0.0050313,            0.003169,            0.003169,            0.003169
                 140,            0.022153,           0.0060553,          0.00067837,             0.79948,             0.72943,             0.72273,             0.46796,            0.031619,           0.0057423,           0.0050595,           0.0031195,           0.0031195,           0.0031195
                 141,            0.021774,           0.0066585,          0.00080207,             0.84365,             0.72426,              0.7224,             0.47309,            0.032039,           0.0057012,           0.0053571,             0.00307,             0.00307,             0.00307
                 142,            0.022314,           0.0058947,          0.00052588,             0.83221,             0.70737,             0.72907,             0.45832,             0.03221,           0.0057872,           0.0055442,           0.0030205,           0.0030205,           0.0030205
                 143,            0.021671,           0.0064399,           0.0012499,             0.80203,             0.74215,             0.73158,             0.46321,            0.032173,           0.0056738,           0.0050007,            0.002971,            0.002971,            0.002971
                 144,            0.021693,           0.0064623,           0.0006678,             0.78788,             0.72635,             0.70714,               0.457,              0.0325,            0.005715,           0.0045515,           0.0029215,           0.0029215,           0.0029215
                 145,            0.022023,           0.0063308,          0.00084127,             0.83301,             0.72895,             0.72953,             0.46338,            0.032208,           0.0056589,           0.0042994,            0.002872,            0.002872,            0.002872
                 146,            0.023101,           0.0063759,          0.00087176,             0.87614,             0.73132,             0.73324,             0.47469,            0.032051,           0.0056659,           0.0043444,           0.0028225,           0.0028225,           0.0028225
                 147,            0.022157,           0.0063966,          0.00058921,             0.83636,             0.73758,             0.74154,              0.4785,            0.031728,           0.0057528,           0.0044298,            0.002773,            0.002773,            0.002773
                 148,            0.021865,           0.0061028,          0.00092236,             0.86379,             0.72833,             0.74292,               0.476,            0.032022,            0.005733,           0.0048167,           0.0027235,           0.0027235,           0.0027235
                 149,            0.022926,           0.0063204,          0.00081013,             0.89336,              0.7025,             0.71258,             0.47622,            0.032431,            0.005853,            0.005928,            0.002674,            0.002674,            0.002674
                 150,            0.021248,           0.0062284,          0.00082126,             0.87294,             0.70819,             0.70979,               0.468,            0.032575,           0.0058388,            0.006603,           0.0026245,           0.0026245,           0.0026245
                 151,            0.022184,           0.0064132,          0.00076449,             0.89904,              0.6968,             0.72136,             0.46282,            0.031848,           0.0059901,           0.0055509,            0.002575,            0.002575,            0.002575
                 152,            0.020736,           0.0060756,          0.00092697,             0.83481,             0.71654,             0.72776,             0.47398,            0.031201,           0.0059192,           0.0053346,           0.0025255,           0.0025255,           0.0025255
                 153,            0.021562,           0.0059809,          0.00063326,             0.82108,             0.73978,             0.75192,             0.47487,            0.031332,           0.0059141,           0.0053265,            0.002476,            0.002476,            0.002476
                 154,            0.021429,           0.0057145,          0.00060216,             0.80905,             0.75156,               0.741,              0.4768,            0.031959,            0.005799,           0.0050845,           0.0024265,           0.0024265,           0.0024265
                 155,             0.02135,           0.0064259,          0.00067341,             0.81593,              0.7273,             0.74202,             0.47033,            0.032273,           0.0059299,           0.0051352,            0.002377,            0.002377,            0.002377
                 156,            0.022072,             0.00599,          0.00065511,             0.84194,             0.72388,             0.73873,             0.47104,             0.03241,           0.0058531,           0.0051206,           0.0023275,           0.0023275,           0.0023275
                 157,            0.021216,           0.0061079,           0.0009469,             0.79222,             0.71091,             0.71239,             0.47403,            0.032157,           0.0057719,           0.0051414,            0.002278,            0.002278,            0.002278
