epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,851.571,0.78286,0.5105,0.94862,0.73378,0.60283,0.59486,0.3966,1.12102,0.7583,1.03837,0.00942014,0.00942014,0.00942014
43,872.435,0.76779,0.50572,0.94217,0.77762,0.59862,0.602,0.4094,1.10296,0.79711,1.00313,0.009406,0.009406,0.009406
44,893.511,0.77061,0.49426,0.93873,0.75216,0.59746,0.61305,0.39203,1.11692,0.8468,1.01824,0.00939186,0.00939186,0.00939186
45,914.364,0.76338,0.49736,0.94365,0.74065,0.57059,0.61317,0.39992,1.13559,0.78306,1.02628,0.00937771,0.00937771,0.00937771
46,935.318,0.77087,0.50617,0.93207,0.77677,0.58451,0.5837,0.39739,1.04783,0.77068,1.00566,0.00936357,0.00936357,0.00936357
47,956.1,0.77209,0.50538,0.94425,0.79939,0.58896,0.6103,0.40047,1.09203,0.91599,1.022,0.00934943,0.00934943,0.00934943
48,976.904,0.77905,0.50758,0.93508,0.7378,0.56404,0.58609,0.38723,1.14185,0.84583,1.01605,0.00933529,0.00933529,0.00933529
49,997.789,0.744,0.48348,0.92451,0.75199,0.61298,0.65222,0.42435,1.11328,0.78502,1.01617,0.00932114,0.00932114,0.00932114
50,1018.6,0.76908,0.50499,0.93477,0.79578,0.60643,0.60288,0.38912,1.12807,0.8997,1.02895,0.009307,0.009307,0.009307
51,1039.37,0.76031,0.4873,0.93076,0.7191,0.6277,0.62331,0.40989,1.08553,0.74939,1.00724,0.00929286,0.00929286,0.00929286
52,1060.33,0.75056,0.48521,0.93331,0.77965,0.61992,0.62509,0.41185,1.06988,0.77433,1.00745,0.00927871,0.00927871,0.00927871
53,1081.53,0.77064,0.49563,0.94263,0.80375,0.58044,0.57731,0.40277,1.08228,0.87142,1.00744,0.00926457,0.00926457,0.00926457
54,1102.38,0.76117,0.48793,0.93015,0.73385,0.63625,0.62686,0.40892,1.10205,0.76823,0.99914,0.00925043,0.00925043,0.00925043
55,1123.19,0.74823,0.48769,0.92892,0.75737,0.60176,0.60633,0.40906,1.10102,0.8097,1.01737,0.00923629,0.00923629,0.00923629
56,1144.14,0.75546,0.48809,0.9293,0.82172,0.60356,0.60221,0.41936,1.06427,0.76274,1.00796,0.00922214,0.00922214,0.00922214
57,1165.11,0.74175,0.48151,0.93031,0.78522,0.6377,0.62162,0.40404,1.14775,0.77155,1.02045,0.009208,0.009208,0.009208
58,1186.04,0.73971,0.47147,0.93156,0.68699,0.60269,0.59342,0.39996,1.08197,0.82545,1.01041,0.00919386,0.00919386,0.00919386
59,1206.75,0.76263,0.48781,0.92995,0.63642,0.65615,0.60114,0.41312,1.10103,0.78561,0.98625,0.00917971,0.00917971,0.00917971
60,1227.62,0.75156,0.47015,0.92591,0.86342,0.59884,0.62558,0.42394,1.10139,0.78275,1.01489,0.00916557,0.00916557,0.00916557
61,1248.4,0.74532,0.48336,0.93199,0.77646,0.64409,0.63132,0.41703,1.0898,0.77962,1.01852,0.00915143,0.00915143,0.00915143
62,1269.47,0.72736,0.46962,0.93159,0.86478,0.61636,0.66903,0.43495,1.09875,0.80224,1.01227,0.00913729,0.00913729,0.00913729
63,1290.46,0.72235,0.4696,0.9287,0.74096,0.62708,0.61788,0.41109,1.06437,0.78328,1.0044,0.00912314,0.00912314,0.00912314
64,1311.42,0.75241,0.47465,0.92294,0.81483,0.60872,0.63324,0.40755,1.11896,0.80028,1.01549,0.009109,0.009109,0.009109
65,1332.59,0.74472,0.47857,0.93029,0.78641,0.56972,0.6196,0.4105,1.07941,0.78104,1.01531,0.00909486,0.00909486,0.00909486
66,1353.58,0.73544,0.47398,0.92719,0.87113,0.62559,0.64778,0.41985,1.07571,0.73002,1.016,0.00908071,0.00908071,0.00908071
67,1374.33,0.73131,0.46896,0.92548,0.69486,0.63781,0.62462,0.41126,1.09115,0.75145,1.01917,0.00906657,0.00906657,0.00906657
68,1395.36,0.73206,0.46515,0.92473,0.83564,0.58973,0.61285,0.41599,1.11227,0.75992,1.02586,0.00905243,0.00905243,0.00905243
69,1416.44,0.72152,0.46886,0.91812,0.76851,0.62973,0.62868,0.4114,1.10747,0.77697,1.02291,0.00903829,0.00903829,0.00903829
70,1437.64,0.73206,0.46918,0.92838,0.74114,0.62179,0.6139,0.40771,1.06174,0.79083,1.01007,0.00902414,0.00902414,0.00902414
71,1458.48,0.73504,0.46923,0.93202,0.73002,0.6572,0.64788,0.41859,1.0908,0.74574,1.01452,0.00901,0.00901,0.00901
72,1479.43,0.7422,0.47167,0.92474,0.72897,0.65513,0.6279,0.39807,1.07407,0.75193,0.99985,0.00899586,0.00899586,0.00899586
73,1500.39,0.73301,0.46287,0.91795,0.76167,0.59522,0.60427,0.39605,1.08891,0.75434,1.01301,0.00898171,0.00898171,0.00898171
74,1521.29,0.71608,0.45949,0.92409,0.78166,0.57203,0.59628,0.40333,1.07808,0.83267,1.01598,0.00896757,0.00896757,0.00896757
